Date & Time,Index 1,Index 2,Index 3,Index 4,Index 5,Open Price,High Price,Low Price,Close Price,VA1,VA2,VA3,VA4,VA5,EST,TVA1,TVA2,TVA3,TVA4,ROC1,ROC2,ROC3,ROC4
2020.04.13 11:00,3.58,0,0,35.24,62.02,0.96445,0.96637,0.96429,0.96609,-0.78,0,0,760.57,6844.7,4:00,715.16,2121.78,4568.08,7604.49,178.79,530.45,1142.02,1901.12
2020.04.13 12:00,0,0,0,0,100.85,0.96609,0.96642,0.96587,0.9659,0,0,0,0,27165.85,5:00,6981.42,14294.39,21011.86,27165.85,1745.36,3573.6,5252.97,6791.46
2020.04.13 13:00,0,0,0,0,100.85,0.96587,0.96819,0.96585,0.96701,0,0,0,0,33774.13,6:00,6923.51,19188.28,26913.27,33774.13,1730.88,4797.07,6728.32,8443.53
2020.04.13 14:00,46.92,3.15,0,2.15,48.62,0.96703,0.9677,0.96597,0.96601,9423.3,163.46,0,31.13,15891.62,7:00,8093.57,15869.51,20593.32,25509.5,2023.39,3967.38,5148.33,6377.38
2020.04.13 15:00,3.76,94.62,2.48,0,0,0.96603,0.96686,0.96595,0.96641,187.07,4885.77,12.52,0,0,8:00,259.31,1873.67,3585.59,5085.37,64.83,468.42,896.4,1271.34
2020.04.13 16:00,19.23,32.26,0,0,49.35,0.9664,0.96786,0.96628,0.96743,2709.7,3351.04,0,0,14328.54,9:00,2497.29,6437.54,13198.04,20389.28,624.32,1609.39,3299.51,5097.32
2020.04.13 17:00,25.97,3.69,0,0,71.19,0.96743,0.96838,0.96663,0.968,4676.4,112.47,0,0,22417.14,10:00,8026.75,13270.59,19031.15,27206.01,2006.69,3317.65,4757.79,6801.5
2020.04.13 18:00,20.67,0,4.2,0,75.97,0.96798,0.96863,0.96713,0.96741,5279.47,0,112.7,0,27603.56,11:00,9843.95,18288.53,25843.81,32995.73,2460.99,4572.13,6460.95,8248.93
2020.04.13 19:00,13.38,40.46,22.54,0,24.49,0.96742,0.96751,0.96644,0.96653,1755.14,3535.72,1334,0,5250.97,12:00,5128.78,7716.2,10138.08,11875.83,1282.19,1929.05,2534.52,2968.96
2020.04.13 20:00,8.72,32.81,30.17,0,29.17,0.96652,0.96751,0.96629,0.9665,362.05,-1023.25,-533.51,0,2182.28,13:00,-286.46,1042.42,2094.72,987.56,-71.62,260.61,523.68,246.89
2020.04.13 21:00,0,100.85,0,0,0,0.9665,0.96677,0.96609,0.9662,0,-1297.95,0,0,0,14:00,-359.28,-706.51,-947.7,-1297.95,-89.82,-176.63,-236.93,-324.49
2020.04.13 22:00,0,89.62,11.23,0,0,0.9662,0.96707,0.96606,0.96697,0,-2080.03,-170.34,0,0,15:00,-269.39,-923.16,-1591.9,-2250.37,-67.35,-230.79,-397.98,-562.59
2020.04.13 23:00,31.37,44.76,26.62,0,-1.9,0.96698,0.9676,0.96691,0.96704,3797.5,594.29,251.08,0,660.48,16:00,61.44,1097.7,2332.53,5303.36,15.36,274.43,583.13,1325.84
2020.04.14 00:00,15.9,54.62,30.34,0,0,0.96679,0.96767,0.96624,0.96716,743.7,-3960.33,-954.35,0,0,17:00,0,122.98,-2143.46,-4170.98,0,30.75,-535.87,-1042.74
2020.04.14 01:00,0,0,100.85,0,0,0.96717,0.96746,0.96703,0.9671,0,0,-2910.34,0,0,18:00,-715.11,-1047.16,-1670.59,-2910.34,-178.78,-261.79,-417.65,-727.59
2020.04.14 02:00,0,2.94,97.92,0,0,0.96711,0.96717,0.96615,0.96672,0,-131.2,-8179.03,0,0,19:00,-563.08,-1942.91,-3588.15,-8310.23,-140.77,-485.73,-897.04,-2077.56
